gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Plin4,0.7659439138985464,-0.2833785959246372,1,1,1
Pnp,0.7692855871109127,0.12964234419566845,1,1,1
Cndp2,0.7697318254791556,-0.03325254523266974,1,1,1
Oxct1,0.7706536880607933,-0.016244178563276535,1,1,1
Idh1,0.7733714505152259,0.07264506413694605,1,1,1
Ogdhl,0.7738346146749195,0.09375358636328723,1,1,1
Etnk1,0.7745189435210049,0.04920671331667181,1,1,1
Siglech,0.7838887489075786,0.04017636436062766,1,1,1
Sphk2,0.7842575629842625,-0.07024012277748737,1,1,1
Lipa,0.7851513682654125,0.03441504870614587,1,1,1
Vldlr,0.7855861145661758,-0.07942385310444466,1,1,1
Chil3,0.7889525456781232,-0.45892527238071024,0.75,1,1
Aldob,0.7907510714710441,-0.29235825523013115,0.75,0.667,1
Hacd2,0.7911636859711184,-0.049401756015017284,1,1,1
Kdsr,0.7933490532230537,-0.1260797917685852,1,1,1
Pah,0.7942680416993924,-0.434676655588337,0.75,1,1
Dpyd,0.794747497126318,-0.19271121606545116,1,1,1
Mdh1,0.7992092119395189,0.05548644071607267,1,1,1
Gclm,0.7996890158761081,0.04813090187663427,1,1,1
Clec10a,0.8003815495619823,-0.04484347691979351,1,1,1
Pdhb,0.8038997229999416,-0.007964048154799563,1,1,1
Selplg,0.8046439023046446,-0.043851261059612234,1,1,1
Abca7,0.8051623081421235,-0.047691699900030304,1,1,1
Icam1,0.8055743017051445,0.007328952187083182,1,1,1
Cpt1b,0.8089221087102317,-0.28713185874316094,1,1,1
Ifitm2,0.8099216879927382,-0.17488182065887292,1,1,1
Pdcd1,0.8104954038945043,-0.014560320493965051,1,1,1
Dgat1,0.8178287681161928,-0.14010438526203395,1,1,1
Nr1h2,0.8221077154826305,-0.05667429546352043,1,1,1
Klrb1c,0.8224947060611916,-0.06032311225124848,1,1,1
Hmgb2,0.8238749990360971,-0.04027535401879678,1,1,1
Gfap,0.8258243288511282,-0.08904100719094998,1,1,1
Hibadh,0.8287644592107941,0.05929033666253147,1,1,1
Tunar,0.8294117513173039,-0.14989768856304408,1,1,1
Csf1,0.8335230128576809,-0.006524099423460328,1,1,1
Pax6,0.8349116867614932,-0.10166107204561597,1,1,1
Plcg2,0.83958766065433,-0.03029534417056201,1,1,1
Pgd,0.8434887101570797,0.04899074732906872,1,1,1
Gys2,0.8449888247956006,-0.4216087149289329,0.75,1,1
Mdh2,0.8451739177101091,-0.03582388838474593,1,1,1
Gpt2,0.845882111541939,0.04637659712310249,1,1,1
Tcap,0.8459159699466964,0.006478348442891857,1,1,1
Acsl4,0.846311910816971,-0.011868583801344812,1,1,1
Ltc4s,0.8464352237782787,0.06671117559119422,1,1,1
Gpr34,0.8499589895636234,0.05199713112336912,1,1,1
