#Selection name: 4s2_F2
#Area (µm^2): 31293112.30
Cell ID,Cluster,Transcripts,Area (µm^2)
lhblgkng-1,Cluster 5,0,272.65
leneljlk-1,Cluster 5,0,245.60
lenfedlk-1,Cluster 8,0,160.35
lenhbmhi-1,Cluster 5,0,121.24
lenoielp-1,Cluster 4,0,289.23
lengagoo-1,Cluster 9,0,200.13
leoakhdo-1,Cluster 8,0,86.20
lenkofok-1,Cluster 4,0,195.71
leneibfk-1,Cluster 8,0,72.66
lenfmkid-1,Cluster 8,0,157.32
lenlcjnf-1,Cluster 18,0,206.27
lenejfid-1,Cluster 8,0,174.44
lenjpphp-1,Cluster 8,0,239.06
lenkiale-1,Cluster 8,0,165.45
lenkoeoj-1,Cluster 8,0,147.71
lenkomla-1,Cluster 8,0,92.43
leickpbk-1,Cluster 8,0,81.28
lenjphji-1,Cluster 24,0,239.33
lenldpjf-1,Cluster 10,0,243.75
lenkpjfg-1,Cluster 8,0,194.13
lenlldef-1,Cluster 16,0,206.45
leiclhkl-1,Cluster 8,0,150.82
lhaeliah-1,Cluster 8,0,116.68
mackbenf-1,Cluster 8,0,135.24
kpidekdd-1,Cluster 9,0,144.77
kpaeaaia-1,Cluster 11,0,244.75
emcgpgmc-1,Cluster 7,0,57.08
emdbogcm-1,Cluster 8,0,173.08
emdeapjl-1,Cluster 8,0,167.80
emcncakh-1,Cluster 8,0,152.54
emeljgdo-1,Cluster 5,0,185.14
emelknfb-1,Cluster 5,0,216.52
emdfdhlb-1,Cluster 4,0,180.49
emdcceom-1,Cluster 8,0,76.31
emdfdonn-1,Cluster 4,0,111.22
emdedlph-1,Cluster 8,0,209.57
emdfcaon-1,Cluster 5,0,228.67
emdeckhe-1,Cluster 8,0,210.43
emdfjfja-1,Cluster 4,0,133.80
emdebggm-1,Cluster 8,0,179.36
emddpach-1,Cluster 4,0,158.00
emdckloo-1,Cluster 8,0,185.01
emdcalin-1,Cluster 24,0,238.88
emcjdfbf-1,Cluster 24,0,311.17
emclngek-1,Cluster 5,0,62.45
emcjdjio-1,Cluster 8,0,82.91
emclfcbh-1,Cluster 8,0,191.87
emdgjpdo-1,Cluster 16,0,117.45
emcldmje-1,Cluster 9,0,161.98
emclocng-1,Cluster 5,0,93.16
