#Selection name: 4s2M_F3
#Area (µm^2): 34210131.15
Cell ID,Cluster,Transcripts,Area (µm^2)
hnhkjobj-1,Cluster 3,0,84.49
hnkpaiae-1,Cluster 13,0,268.05
hnkjbddc-1,Cluster 13,0,214.81
hnhfggcd-1,Cluster 11,0,270.67
hnhdkene-1,Cluster 9,0,143.60
hnhgkbpn-1,Cluster 2,0,206.14
hnhglepi-1,Cluster 2,0,116.50
hnhepikg-1,Cluster 3,0,123.05
hnhebjml-1,Cluster 17,0,147.21
njnpcceh-1,Cluster 10,0,114.88
hnhgehmf-1,Cluster 8,0,139.13
hnhkklfp-1,Cluster 7,0,121.02
hnhdhmaa-1,Cluster 5,0,285.48
hnhejghd-1,Cluster 1,0,98.26
hnhclhbj-1,Cluster 7,0,145.85
njnpfegh-1,Cluster 9,0,89.05
hnhcnccc-1,Cluster 2,0,224.74
njnopcei-1,Cluster 2,0,192.82
njnolilp-1,Cluster 9,0,195.80
njnjkohd-1,Cluster 7,0,142.65
hnhcndnj-1,Cluster 2,0,174.94
njnjeama-1,Cluster 7,0,252.56
hnhdhgbl-1,Cluster 4,0,183.24
njnjonim-1,Cluster 11,0,183.47
hnhcopci-1,Cluster 10,0,265.38
njnjonbp-1,Cluster 9,0,90.63
hnhcnefp-1,Cluster 3,0,259.02
njnjinio-1,Cluster 7,0,100.74
njnjkilo-1,Cluster 17,0,178.77
hnhghlgb-1,Cluster 2,0,178.59
hnhdpgjm-1,Cluster 9,0,178.68
hnhgiikk-1,Cluster 2,0,159.63
hnhgjiei-1,Cluster 4,0,172.05
hnhmaidh-1,Cluster 18,0,209.07
njnpckmo-1,Cluster 9,0,157.01
njnikpgg-1,Cluster 2,0,195.26
njnpegaa-1,Cluster 2,0,116.82
nempnmbb-1,Cluster 9,0,165.23
nenabfbl-1,Cluster 18,0,141.34
njnimjgd-1,Cluster 9,0,92.30
njnjdlal-1,Cluster 9,0,161.03
njnipoig-1,Cluster 2,0,96.95
hnhjjgcb-1,Cluster 7,0,133.17
hnifmnlk-1,Cluster 5,0,327.47
hnhjegcg-1,Cluster 11,0,295.73
hnifljie-1,Cluster 4,0,98.85
hnifoecg-1,Cluster 18,0,192.00
hnhkajhf-1,Cluster 7,0,127.25
hnifhckc-1,Cluster 9,0,197.87
hnhinnec-1,Cluster 4,0,227.99
hnifjenj-1,Cluster 11,0,235.44
hnhjioah-1,Cluster 10,0,229.80
hnigdakc-1,Cluster 6,0,168.88
hnhjmele-1,Cluster 11,0,284.71
hnigfkef-1,Cluster 13,0,295.32
hnifeplk-1,Cluster 11,0,265.56
hnigjoij-1,Cluster 11,0,226.46
hnigckfb-1,Cluster 5,0,191.69
hnighimf-1,Cluster 6,0,172.45
hnhgmoml-1,Cluster 7,0,199.05
hnlaabdi-1,Cluster 10,0,222.85
hnhldclm-1,Cluster 11,0,117.86
hnidfmlp-1,Cluster 2,0,109.73
hnladfnb-1,Cluster 11,0,252.56
hnidjcnh-1,Cluster 13,0,297.58
hnhgmnnb-1,Cluster 8,0,231.52
hnhhhoei-1,Cluster 11,0,219.19
hnhifbbl-1,Cluster 4,0,134.61
hnhikjca-1,Cluster 5,0,231.56
hnidabln-1,Cluster 9,0,30.62
hnidgepi-1,Cluster 11,0,171.64
hnidmioc-1,Cluster 11,0,133.30
hnhiklnb-1,Cluster 4,0,87.56
hnidamol-1,Cluster 14,0,85.53
hnieagjl-1,Cluster 7,0,89.23
hnicimee-1,Cluster 11,0,211.38
hnidmlie-1,Cluster 2,0,132.31
hnidnggg-1,Cluster 13,0,287.19
hnidoefh-1,Cluster 13,0,209.48
hnhkmjce-1,Cluster 13,0,133.93
hnkinkbf-1,Cluster 11,0,261.41
hnigjcia-1,Cluster 13,0,223.12
hnhhfhmf-1,Cluster 4,0,251.48
hnichmdf-1,Cluster 4,0,170.46
hnkkobha-1,Cluster 5,0,168.52
hnkkhjnd-1,Cluster 18,0,94.65
hniemadf-1,Cluster 4,0,154.39
hnidahbg-1,Cluster 9,0,123.55
hnidajbp-1,Cluster 2,0,58.75
hnkpeiff-1,Cluster 7,0,139.71
hnkipnok-1,Cluster 11,0,204.06
hnkpdmkh-1,Cluster 4,0,181.80
hnjleego-1,Cluster 8,0,131.27
hnkohofo-1,Cluster 5,0,291.94
hnjmfflp-1,Cluster 16,0,221.27
hnjmjglo-1,Cluster 4,0,213.91
hnjkdand-1,Cluster 2,0,263.49
hnjkeiog-1,Cluster 9,0,105.17
hnjnaekm-1,Cluster 7,0,195.48
hnhcjibl-1,Cluster 4,0,121.20
hnjmngab-1,Cluster 13,0,327.11
hnjkbfnf-1,Cluster 11,0,320.11
hnjlnmgn-1,Cluster 13,0,171.28
hnjjnhpi-1,Cluster 4,0,187.85
hnhckjab-1,Cluster 4,0,170.56
hnjlonhg-1,Cluster 4,0,202.03
hnkbekci-1,Cluster 4,0,203.75
hnhcjhpm-1,Cluster 18,0,213.18
hnhciodb-1,Cluster 11,0,295.37
hnkbdjko-1,Cluster 4,0,149.56
hnhcjbkb-1,Cluster 7,0,89.09
hnhlhphg-1,Cluster 9,0,218.06
hnhllkmi-1,Cluster 7,0,279.97
hnkbmegn-1,Cluster 11,0,290.08
hnhljcge-1,Cluster 2,0,247.05
hnhcdhpl-1,Cluster 11,0,227.86
hnhcdldc-1,Cluster 2,0,152.36
hnhbimbc-1,Cluster 11,0,347.16
hnhbpope-1,Cluster 7,0,157.55
hnhkinbh-1,Cluster 9,0,240.19
njogacoh-1,Cluster 13,0,110.00
hnhbbdac-1,Cluster 13,0,117.09
njofmkpd-1,Cluster 5,0,83.22
hnhljcdm-1,Cluster 2,0,450.25
njoanlla-1,Cluster 9,0,261.41
njoanbgl-1,Cluster 7,0,295.64
njoalkml-1,Cluster 2,0,229.98
njoalhbp-1,Cluster 7,0,84.98
njoakajh-1,Cluster 18,0,224.38
njoajkfg-1,Cluster 7,0,123.05
njnpfndb-1,Cluster 10,0,265.25
njocekca-1,Cluster 4,0,139.26
njocacaf-1,Cluster 5,0,139.94
hnkaibeg-1,Cluster 5,0,41.81
