#Selection names: 4s2_F2, 4s2_F3, 4s2M_F3, 4s2M_F4
#Areas (µm^2): 31293112.3, 33774633.9, 34210131.1, 30623218.5
Selection,X,Y,Class,Color
4s2_F2,900.2424254081487,11918.778655760016,samples,#c2c2c2
4s2_F2,900.2424254081487,11906.895596864275,samples,#c2c2c2
4s2_F2,902.8483593765123,11798.836201642776,samples,#c2c2c2
4s2_F2,902.8483593765123,11766.870078297514,samples,#c2c2c2
4s2_F2,924.0780347721186,11696.787827441642,samples,#c2c2c2
4s2_F2,946.7670331900081,11454.088510521335,samples,#c2c2c2
4s2_F2,958.6848378719926,11376.084220401637,samples,#c2c2c2
4s2_F2,967.5450133644308,11228.1019167848,samples,#c2c2c2
4s2_F2,967.5450133644308,10990.64921358747,samples,#c2c2c2
4s2_F2,967.5450133644308,10840.616908582191,samples,#c2c2c2
4s2_F2,967.5450133644308,10753.335493535118,samples,#c2c2c2
4s2_F2,967.5450133644308,10695.136301574985,samples,#c2c2c2
4s2_F2,953.7509362252242,10621.370997377162,samples,#c2c2c2
4s2_F2,924.3560010620771,10449.483592823866,samples,#c2c2c2
4s2_F2,905.7322596348348,10273.704660211146,samples,#c2c2c2
4s2_F2,890.1314016108962,10154.94356282624,samples,#c2c2c2
4s2_F2,890.1314016108962,10112.727432538733,samples,#c2c2c2
4s2_F2,904.4814113300201,10068.044351427858,samples,#c2c2c2
4s2_F2,933.4593970582288,9995.77311603856,samples,#c2c2c2
4s2_F2,966.3289108458607,9875.934899280055,samples,#c2c2c2
4s2_F2,983.5280750370637,9766.90262204371,samples,#c2c2c2
4s2_F2,1012.4018234065378,9558.149938284621,samples,#c2c2c2
4s2_F2,1014.4518247949848,9435.67104177151,samples,#c2c2c2
4s2_F2,1020.6018289603236,9419.27103066394,samples,#c2c2c2
4s2_F2,1033.0755662222264,9396.998981680987,samples,#c2c2c2
4s2_F2,1165.3527744563862,9195.16070938463,samples,#c2c2c2
4s2_F2,1216.7070465262807,9132.896260433852,samples,#c2c2c2
4s2_F2,1203.642630898215,9059.304685167252,samples,#c2c2c2
4s2_F2,1256.1435139141897,8974.073271508621,samples,#c2c2c2
4s2_F2,1256.1435139141897,8974.073271508621,samples,#c2c2c2
4s2_F2,1325.1138996102254,8811.636720813929,samples,#c2c2c2
4s2_F2,1420.247862348636,8848.849457882168,samples,#c2c2c2
4s2_F2,1475.458916691709,8829.496054943787,samples,#c2c2c2
4s2_F2,1628.8615629627404,8809.621465211732,samples,#c2c2c2
4s2_F2,1630.911564351187,8807.57146382328,samples,#c2c2c2
4s2_F2,1711.9387378741874,8795.167218133867,samples,#c2c2c2
4s2_F2,1755.7879201151927,8787.349416228777,samples,#c2c2c2
4s2_F2,1936.049059153496,8746.245151101115,samples,#c2c2c2
4s2_F2,1987.021127574697,8729.184970054888,samples,#c2c2c2
4s2_F2,2017.771148401393,8718.934963112659,samples,#c2c2c2
4s2_F2,2030.0711567320718,8712.784958947319,samples,#c2c2c2
4s2_F2,2052.343205715023,8710.179024978961,samples,#c2c2c2
4s2_F2,2172.7721008396866,8689.922231598206,samples,#c2c2c2
4s2_F2,2194.9051666776595,8681.166293464503,samples,#c2c2c2
4s2_F2,2194.9051666776595,8681.166293464503,samples,#c2c2c2
4s2_F2,2095.77543852109,8679.533241510995,samples,#c2c2c2
4s2_F3,6948.555779808361,9185.065277214804,samples,#c2c2c2
4s2_F3,6978.879291586916,9165.654032650675,samples,#c2c2c2
4s2_F3,6981.974598152548,9162.558726085044,samples,#c2c2c2
4s2_F3,6993.726270537318,9162.558726085044,samples,#c2c2c2
4s2_F3,7449.523278032294,9117.07345841721,samples,#c2c2c2
4s2_F3,7467.465563548325,9117.07345841721,samples,#c2c2c2
4s2_F3,8382.627050512225,9125.152733181738,samples,#c2c2c2
4s2_F3,8394.378722896994,9121.218021445768,samples,#c2c2c2
4s2_F3,9010.082415341865,9090.47480708204,samples,#c2c2c2
4s2_F3,9021.834087726635,9090.47480708204,samples,#c2c2c2
4s2_F3,9523.850842413494,9143.304869990356,samples,#c2c2c2
4s2_F3,9555.853164532733,9162.45380043875,samples,#c2c2c2
4s2_F3,9895.969646990137,9245.712300771916,samples,#c2c2c2
4s2_F3,9998.954168826305,9284.797104015901,samples,#c2c2c2
4s2_F3,10236.873071794736,9370.41643139065,samples,#c2c2c2
4s2_F3,10296.260987596339,9413.908111778923,samples,#c2c2c2
4s2_F3,10487.383052318277,9551.72794818423,samples,#c2c2c2
4s2_F3,10657.62491342799,9634.094580523908,samples,#c2c2c2
4s2_F3,11108.490415547214,9866.295035769392,samples,#c2c2c2
4s2_F3,11298.930463568251,10028.457622114578,samples,#c2c2c2
4s2_F3,11453.01377514891,10161.136101851547,samples,#c2c2c2
4s2_F3,11521.740073470548,10308.34678360004,samples,#c2c2c2
4s2_F3,11560.300248483072,10521.765548159152,samples,#c2c2c2
4s2_F3,11579.868881516639,10725.688541728785,samples,#c2c2c2
4s2_F3,11604.47394557225,11127.343915736788,samples,#c2c2c2
4s2_F3,11630.023340444492,11402.091720553915,samples,#c2c2c2
4s2_F3,11636.42380486834,11985.793090879548,samples,#c2c2c2
4s2_F3,11643.453823169943,12678.14496794115,samples,#c2c2c2
4s2_F3,11700.743226045694,13423.117056618483,samples,#c2c2c2
4s2_F3,11687.417668966536,13993.755183980693,samples,#c2c2c2
4s2_F3,11632.279241839784,14386.282026761239,samples,#c2c2c2
4s2_F3,11603.162374993592,14832.68818891303,samples,#c2c2c2
4s2_F3,11571.999458044696,15033.306024624446,samples,#c2c2c2
4s2_F3,11528.350389186982,15297.403876342878,samples,#c2c2c2
4s2_F3,11505.948763703514,15358.523065308305,samples,#c2c2c2
4s2_F3,11428.507123803143,15408.334598067926,samples,#c2c2c2
4s2_F3,11381.351787991343,15427.540349673774,samples,#c2c2c2
4s2_F3,11227.153533085619,15476.812613378228,samples,#c2c2c2
4s2_F3,10872.123249406939,15520.071574662965,samples,#c2c2c2
4s2_F3,10262.294615749737,15457.085299827817,samples,#c2c2c2
4s2_F3,9874.866131279086,15348.815176158434,samples,#c2c2c2
4s2_F3,9407.853430090277,15214.37491491751,samples,#c2c2c2
4s2_F3,9098.797049282244,15326.04857778075,samples,#c2c2c2
4s2_F3,8988.625120675035,15258.73877568406,samples,#c2c2c2
4s2_F3,8939.677306679543,15215.404483765222,samples,#c2c2c2
4s2_F3,8858.15007951021,15164.200768374441,samples,#c2c2c2
4s2_F3,8751.073457468628,15096.890966277753,samples,#c2c2c2
4s2_F3,8664.981964685565,15057.806163033767,samples,#c2c2c2
4s2_F3,8575.480388397991,15018.931211082365,samples,#c2c2c2
4s2_F3,8551.504878220137,15004.871174479156,samples,#c2c2c2
4s2_F3,8505.232668205108,14981.525218179058,samples,#c2c2c2
